id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
979,Irréversible,None,A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist. Because some acts can’t be undone. Because man is an animal. Because the desire for vengeance is a natural impulse. Because most crimes remain unpunished.,2002-05-22,7.203,3052,/rxeDxo8FvZpLu6iplNpxdtAVnfu.jpg,fr,"['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel']",Gaspar Noé
260513,Incredibles 2,None,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018-06-14,7.5,13157,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,en,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",Brad Bird
56622,Import-eksport,None,"Jan loves Jasmin, but she has been promised to a Pakistani nephew. Under the cover of writing a thesis on immigrant stores, Jan gets a job in the store of Jasmin's father where he tries to work on the father's attitude towards mixed marriages.",2005-09-02,4.2,6,/TC2WCmb7shX7j8qY3NTSkJd2cQ.jpg,no,"['Iram Haq', 'Bjørnar Teigen', 'Anita Uberoi']",Khalid Hussain
7512,Idiocracy,None,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",2006-09-01,6.348,3198,/q7sn0A3BkBxvzdwVFOGmJGE2vF8.jpg,en,"['Luke Wilson', 'Maya Rudolph', 'Dax Shepard']",Mike Judge
2832,Identity,None,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",2003-04-25,7.176,4039,/bnidwEvWNAVJ3Uco9wWtuzWAfrx.jpg,en,"['John Cusack', 'Ray Liotta', 'Amanda Peet']",James Mangold
49797,악마를 보았다,None,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",2010-08-12,7.8,2743,/zp5NrmYp80axIGiEiYPmm1CW6uH.jpg,ko,"['Lee Byung-hun', 'Choi Min-sik', 'Jeon Kuk-hwan']",Kim Jee-woon
41110,Io sono l'amore,None,"Emma has left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",2010-03-19,6.778,370,/ss57QaZX5OE3YxoTZeKW5Y6U83S.jpg,it,"['Tilda Swinton', 'Flavio Parenti', 'Edoardo Gabbriellini']",Luca Guadagnino
371645,Hunt for the Wilderpeople,None,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",2016-03-31,7.7,2156,/hkmz9rxgcweizXNElozGeKwmAJE.jpg,en,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata']",Taika Waititi
1419440,Hunger,None,The life and death of cattle at the hands of a rancher.,2025-01-13,4.0,1,/pPRmDS9St2o2Jvn6EfL4sDwLhJq.jpg,en,[],Grady Beaulieu
4935,ハウルの動く城,None,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,8.4,10408,/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,ja,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Hayao Miyazaki
4638,Hot Fuzz,None,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",2007-02-14,7.564,7852,/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,en,"['Simon Pegg', 'Nick Frost', 'Jim Broadbent']",Edgar Wright
381284,Hidden Figures,None,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",2016-12-10,8.053,10026,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,en,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']",Theodore Melfi
13817,Head On,None,"Nineteen-year-old Ari confronts both his sexuality and his Greek family. Ari despises his once-beloved parents, former radical activists, for having entombed themselves in insular tradition. Ari is obsessed with gay sex, although he does make an unenthusiastic attempt to satisfy the sister of one of his best friends. While all of this is going on, he's facing problems with his traditional Greek parents, who have no clue about his sexual activities.",1998-08-13,6.3,54,/7kOpfb9oCiDP7LUWbthZhzjnh1J.jpg,en,"['Alex Dimitriades', 'Paul Capsis', 'Julian Garner']",Ana Kokkinos
673,Harry Potter and the Prisoner of Azkaban,None,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",2004-05-31,8.012,22250,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,en,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",Alfonso Cuarón
64508,"Es ist nicht leicht, ein Gott zu sein",None,"Another planet in the period of medieval times. An employee of the institute of experimental history from Earth, who is send under the name of noble don Rumata of Estor as a spy with a mission to contact the local resident of the institute, arrives in the city of Arkanar. But the resident perishes under an unlucky attempt to make a palace coup, and Rumata have to take his place as the resident. Soon he meets all the horrors of the medieval society - a peasant war, palace coups, mass executions. To continue to be an indifferent watcher of all these horrors turns out to be simply impossible...",1990-01-25,6.023,43,/Asun3ZgcoCZcDLlCaepc4senWya.jpg,de,"['Edward  Żentara', 'Aleksandr Filippenko', 'Andrei Boltnev']",Peter Fleischmann
5279,Gosford Park,None,"In 1930s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",2001-12-26,6.829,1141,/7r8DeZuaaHCiOEbkqZC6MFmwJ69.jpg,en,"['Maggie Smith', 'Michael Gambon', 'Kristin Scott Thomas']",Robert Altman
429200,Good Time,None,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",2017-08-11,7.211,2916,/yE1c9hj5Hf8a9KplAdRdhADqUro.jpg,en,"['Robert Pattinson', 'Benny Safdie', 'Buddy Duress']",Benny Safdie
