id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
372058,君の名は。,,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,8.483,11864,/q719jXXEzOoYaps6babgKnONONX.jpg,ja,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",Makoto Shinkai
13,Forrest Gump,,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,8.469,28396,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,en,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",Robert Zemeckis
429,"Il buono, il brutto, il cattivo",,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-22,8.465,9081,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,it,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",Sergio Leone
157336,Interstellar,,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,8.5,37446,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,en,"['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine']",Christopher Nolan
769,GoodFellas,,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990-09-12,8.455,13483,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,en,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",Martin Scorsese
346,七人の侍,,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,8.455,3940,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg,ja,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba']",Akira Kurosawa
12477,火垂るの墓,,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,8.45,5958,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,ja,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara']",Isao Takahata
637,La vita è bella,,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,8.445,13439,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,it,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Roberto Benigni
550,Fight Club,,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,8.4,30484,/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,en,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter']",David Fincher
11216,Nuovo Cinema Paradiso,,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,8.436,4558,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,it,"['Philippe Noiret', 'Jacques Perrin', 'Marco Leonardi']",Giuseppe Tornatore
598,Cidade de Deus,,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",2002-08-30,8.431,7718,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,pt,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']",Fernando Meirelles
667257,Cosas imposibles,,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",2021-06-17,8.43,410,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,es,"['Nora Velázquez', 'Benny Emmanuel', 'Luisa Huertas']",Ernesto Contreras
40096,O Auto da Compadecida,,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000-09-15,8.426,1172,/aovknfdLnFp1IiWi3yvTAg8Gm5k.jpg,pt,"['Matheus Nachtergaele', 'Selton Mello', 'Rogério Cardoso']",Guel Arraes
14537,切腹,,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1962-09-15,8.426,1097,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,ja,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']",Masaki Kobayashi
120,The Lord of the Rings: The Fellowship of the Ring,,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,8.423,26155,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,en,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson
